,,DRR,AGR,HYD,All
"Improvement
vs. status quo",Optimistic,0.10117774786033706,1.163313377575248,0.0194393438918139,1.3012755141983412
"Improvement
vs. status quo",Pessimistic,0.2220212976319358,1.1405306455725572,0.018579576822119748,1.4038676472903022
"Improvement
vs. control",Optimistic,0.5455263802766952,3.0632401995476233,0.17951352629148598,3.8322844754810736
"Improvement
vs. control",Pessimistic,1.0688640845259778,3.0025131531479454,0.16363811414494833,4.304893877700966
"Status quo
vs. control",Optimistic,0.44389950489454044,1.8780788791300518,0.1600430710767098,2.4984966363310823
"Status quo
vs. control",Pessimistic,0.8449667806829986,1.840985503724868,0.1450315910669353,2.8608634933937616
